Topic,Difficulty,Question,Answer
Abstraction,Easy,What is abstraction in Python?,Abstraction is the process of simplifying complex systems by focusing on the essential details while ignoring the non-essential ones. It allows us to model real-world objects and concepts more accurately and efficiently in code.
Abstraction,Easy,What is an abstract class in Python?,"An abstract class is a class that cannot be instantiated on its own, but instead is designed to be subclassed by other classes. It may include abstract methods, which are methods that do not have an implementation in the abstract class, but must be implemented by any concrete subclasses."
Abstraction,Medium,What is an interface in Python?,"An interface is a collection of abstract methods that define a set of behaviors that a class can implement. It allows for greater modularity and flexibility in a program, since different classes can implement the same interface in different ways, but still be used interchangeably in certain contexts."
Design Patterns,Medium,What is the Singleton pattern in Python?,"The Singleton pattern is a design pattern that restricts the instantiation of a class to a single instance and provides a global point of access to that instance. It is commonly used for logging, configuration settings, and other cases where a single shared instance is necessary."
Design Patterns,Hard,What is the Observer pattern in Python?,"The Observer pattern is a design pattern that allows objects to subscribe to and receive updates from other objects when their state changes. It is commonly used for event-driven systems and user interfaces, where many objects need to respond to changes in a central object or system."
Design Patterns,Hard,What is the Factory pattern in Python?,"The Factory pattern is a design pattern that allows for the creation of objects without specifying their exact class. It is useful for cases where multiple related classes need to be created based on some input or configuration data, and allows for greater flexibility and modularity in a program."
Best Practices,Easy,What is the PEP 8 style guide for Python code?,"The PEP 8 style guide is a set of guidelines for writing clean, consistent, and easy-to-read Python code. It covers topics like naming conventions, whitespace, comments, and more, and is widely used by Python developers as a standard for high-quality code."
Best Practices,Medium,What is the DRY principle in Python programming?,"The DRY (Don't Repeat Yourself) principle is a programming principle that encourages the use of reusable code and the elimination of duplication in a program. It can help to reduce errors, increase modularity and flexibility, and make code easier to maintain and update over time."
Best Practices,Hard,What is the SOLID principle in Python programming?,"The SOLID principle is a set of five principles for object-oriented design that promote software quality and maintainability. The principles are Single Responsibility, Open-Closed, Liskov Substitution, Interface Segregation, and Dependency Inversion, and are widely used in modern software development."
Modules,Easy,How do you import a module in Python?,Use the import keyword followed by the module name: import module_name
Modules,Easy,How do you use a function from a module in Python?,Use the dot notation: module_name.function_name(arguments)
Modules,Medium,What is the difference between a local and global variable in Python?,"A local variable is defined inside a function and only exists within the function, while a global variable is defined outside of any function and can be accessed from anywhere in the program."
Modules,Medium,How do you create a module in Python?,Create a new file with a .py extension and define functions or variables in it.
Modules,Hard,What is the difference between a package and a module in Python?,"A module is a single file containing code and definitions, while a package is a collection of modules that are organized into a directory hierarchy."
Concurrency,Easy,What is threading in Python?,"Threading is a way to run multiple threads (or sub-tasks) within a single process. In Python, you can use the built-in threading module to create and manage threads, which allows for concurrency and can help to improve performance in certain cases."
Concurrency,Medium,What is the Global Interpreter Lock (GIL) in Python?,"The Global Interpreter Lock (GIL) is a mechanism in the CPython interpreter (which is the standard Python interpreter) that allows only one thread to execute Python bytecode at a time. This means that, in practice, only one thread can be executing Python code at any given time, even if multiple threads are running."
Concurrency,Hard,What is the asyncio module in Python?,"The asyncio module is a built-in module in Python 3.4 and later that provides infrastructure for writing asynchronous code using coroutines. It allows for concurrent and cooperative multitasking, and is commonly used for I/O-bound and network-bound applications."
Web Development,Easy,What is Flask in Python?,"Flask is a lightweight web framework for Python that allows you to easily create web applications and APIs. It provides tools for routing, templating, request handling, and more, and is a popular choice for small to medium-sized web projects."
Web Development,Medium,What is SQLAlchemy in Python?,"SQLAlchemy is a Python SQL toolkit and Object-Relational Mapping (ORM) library that provides a set of high-level API for connecting to databases, executing SQL queries, and mapping database tables to Python objects. It is a popular choice for working with databases in Python applications."
Flask,Easy,What is Flask?,Flask is a micro web framework written in Python. It is classified as a microframework because it does not require particular tools or libraries. It is used to build web applications quickly and easily using Python.
Flask,Easy,How do you install Flask in Python?,"You can install Flask in Python using pip, the Python package installer. Open a command prompt or terminal window and type pip install Flask. This will download and install Flask along with its dependencies."
Flask,Medium,What is a route in Flask?,"A route in Flask is a URL that a user can visit in their web browser to access a particular web page or function. In Flask, you define routes using a Python decorator (@app.route()) before a function definition. For example, @app.route('/hello') will define a route for the URL http://localhost:5000/hello. When a user visits this URL, the function that follows the decorator will be executed."
Flask,Medium,How do you render a template in Flask?,"You can render a template in Flask by using the render_template() function. First, you need to import the function by adding from flask import render_template to the top of your Python file. Then, within a function, you can call render_template() and pass the name of the template file as a string. For example, return render_template('index.html') will render the template file named index.html."
Flask,Hard,What is a Flask extension? Give an example of a Flask extension.,"A Flask extension is a third-party package that provides additional functionality for Flask. Extensions are typically installed using pip, and can be easily integrated into a Flask application. Examples of Flask extensions include Flask-Login, Flask-WTF, Flask-SQLAlchemy, Flask-Mail, and Flask-SocketIO. These extensions provide functionality for user authentication, form validation, database integration, email sending, and real-time communication, respectively. Extensions can be imported and initialized in a Flask application using Python code, typically in the create_app() function. For example, to use Flask-WTF in a Flask application, you would add from flask_wtf import CSRFProtect and csrf = CSRFProtect(app) to the create_app() function."
Django,Easy,What is Django?,"Django is a high-level Python web framework that encourages rapid development and clean, pragmatic design. It follows the model-view-controller (MVC) architectural pattern and includes built-in features such as an object-relational mapper (ORM), a templ"
Django,Easy,How do you install Django in Python?,"You can install Django in Python using pip, the Python package installer. Open a command prompt or terminal window and type pip install Django. This will download and install Django along with its dependencies."
Django,Easy,What is a view in Django?,"In Django, a view is a Python function that takes a web request and returns a web response. It is responsible for processing user input, interacting with a database, and rendering a response. A view typically maps to a URL endpoint, and can be defined using a Python function or a class-based view. Views can also be decorated with Django's built-in decorators, such as @login_required or @csrf_exempt, to add additional functionality or security measures."
Django,Medium,What is the Django ORM?,"The Django ORM (Object-Relational Mapping) is a database abstraction layer that allows developers to interact with a database using Python objects instead of SQL. It maps Python classes to database tables, and Python objects to database rows. The Django ORM provides a high-level API for performing database operations, such as creating, reading, updating, and deleting records. It also includes advanced features such as lazy loading, transactions, and database migrations. The Django ORM supports multiple database backends, including SQLite, MySQL, PostgreSQL, and Oracle."
Django,Medium,What is a Django template?,"In Django, a template is a text file that defines the structure and content of a web page. It can include HTML, CSS, and JavaScript, as well as Django template language (DTL) tags and filters. DTL tags allow you to control the flow of the template and access dynamic data, while filters allow you to modify and format data. Templates can be inherited from a base template, which allows you to reuse common elements across multiple pages. In Django, templates are rendered by views using the render() function, which takes a template file and a context dictionary as arguments."
Django,Hard,What is a Django middleware? Give an example of a Django middleware.,"A Django middleware is a component that sits between the web server and the view, and performs additional processing on the request and response. Middleware can be used for a variety of purposes, such as authentication, caching, compression, and logging. In Django, middleware is defined as a Python class that implements one or more of the middleware methods, such as process_request(), process_response(), or process_exception(). An example of a Django middleware is django.middleware.csrf.CsrfViewMiddleware, which provides Cross-Site Request Forgery (CSRF) protection for forms. This middleware adds a CSRF token to every form rendered by a view, and verifies the token on form submission"
